電影名稱,類型,評分,電影海報,年分,簡介,國家/地區,評論1,評論2,評論3,評論4,評論5
神奇女侠 ,动作、奇幻、冒险,7.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2460006593.jpg,06/02/2017,"戴安娜（盖尔·加朵 Gal Gadot 饰）是女王希波吕忒（康妮·尼尔森 Connie Nielsen 饰）的女儿，自幼生活在天堂岛上。巨大的屏障将这座岛屿同外界的纷纷扰扰隔开犹如一个世外桃源，而岛上生活着的亦都是女性。在女武官安提奥普（罗宾·莱特 Robin Wright 饰）的教导之下，戴安娜习得了高强的武艺，而她的体内，似乎隐藏着某种强大的未知力量。
                                    
                                　　一场意外中，一位名为史蒂夫（克里斯·派恩 Chris Pine 饰）的男子来到了岛上，从他口中，戴安娜得知外面的世界正在经历战争的磨难，而造成这一切的罪魁祸首，是战神阿瑞斯（大卫·休里斯 David Thewlis 饰）。为了拯救人类于水火之中，戴安娜依然拿起了长剑与盾牌，发誓要彻底摧毁阿瑞斯的阴谋。",美国 / 中国大陆 / 中国香港,7分。一部全方位、无死角、慢镜头展示“盖尔·加朵真美啊！“的电影。,非常惊喜，这位名不见经传的女导演给所有男性导演上了一课：如何在保证场面和视效的前提下，兼具大爱和小爱。感情戏拿捏的恰到好处，最后的大战效果也不错，旁边的妹子一直在抽泣，这次终于为DC扳回一城。不过最大的缺憾在于，最后反派的扮相真的丑爆了，瞬间出戏…以及，评论里说圣母的都什么思想…,觉得看了个迪士尼公主片。,画面更亮，故事更简单，色彩更绚丽，也不留梗，连神奇女侠也像纸片人一样毫无瑕疵，DC和华纳本来想走黑暗骑士那种现实主义暗黑路线，口碑票房连连失手之后，风格在一步步的调整，现在彻底变成了漫威那种糖水可乐爆米花的路线，普通观众倒是燃了，不知道最开始欣赏DC宇宙暗黑风格的资深粉心里怎么想。,是因为DC前几部扑得太惨烈了，所以一点点进步大家就集体高潮了吗？故事其实蛮一般的啊，说好的大女主电影结果被男主硬生生抢了一半的戏。当然加朵女侠实在太美了，不是美而是帅！打斗戏尤其帅！！女侠V587收我膝盖！！！
灵魂战车2：复仇时刻 ,动作、惊悚、奇幻,6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1494005631.jpg,04/20/2012,"约翰·布雷斯（尼古拉斯·凯奇 Nicolas Cage 饰）被正义天使拉萨罗斯附体，但天使暴躁乖戾，遇到坏人就要吸取他们的灵魂。
                                        
                                    　　莫罗（伊德瑞斯·艾尔巴 Idris Elba 饰）请求布雷斯把小孩丹尼带来神殿以避免恶魔夺取他的灵魂，作为回报他将驱除布雷斯身上的诅咒。丹尼是魔鬼罗尔科的儿子，罗尔科为了把自己的魔力植入儿子体内正派卡里跟追踪逃跑途中的母子两人。正当母子俩被困在采石场的时候，布雷斯到来，他体内的天使爆发了出来，压制住了卡里根。他变成了恶灵骑士，毫不手软的把对手撕成碎片。当战争结束时，三人前往神殿，同时，罗尔科也救醒了死亡边缘的卡里根，并赋予他更可怕的摧毁力，让他再去把丹尼找回来。
                                        
                                    　　在神殿里，莫罗履行协议把布雷斯体内的扎萨罗斯驱赶了出来。但正当他做法时，神殿的牧师试图杀死丹尼——他认为丹尼就是恶魔。还没等他们行动，卡里根就到了。把丹尼带去见了...",美国 / 阿联酋,秃顶伏地魔大叔和哈利波特心电感应，打败吃了腐坏果的僵尸大哥最后散发出了迷人的蓝光。话说那摩托车的尾气该有多污染环境啊。。。。,汗。尼古拉斯·凯奇这几年生生从我最喜欢的演员变成最讨厌的,ghost rider 改拍搞笑治愈片了。。,最怕这种动作魔幻片情节淡出鸟来，毫无剧情可言，动作场面毫无新鲜的感觉，那些不规则构图的摄影更是让成片透出一股粗糙劲儿。记得当年SNL调侃片子有着笼子叔电影的全部元素，所有对白都是用吼的，所有能看到的道具都着火了，其实还有一条，所以电影都不带脑子！好吧，怪我理解不了B级男。★★,开场还蛮酷的，后来除了吊车（？）戏大喷火还蛮震撼之外，就越来越弱，到结尾基本就弱没了。凯奇老得肚子都出褶子了还要耍帅，还不如第一部精彩。虽然有3D但是效果很坑爹！塞伦·希德真是劳模啊最近哪部电影都有他，小男主长得真漂亮。这种耍酷拉风的电影，本来就图个过瘾，结果还是没什么高潮。
魔法师的学徒 ,剧情、喜剧、动作、奇幻、冒险,6.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p605523016.jpg,09/09/2010,"http://site.douban.com/107187/ 魔法师的学徒豆瓣小站
                                        
                                    　　公元700年左右，正义的魔法师默林（James A. Stephens 饰）带领徒弟巴尔萨泽（尼古拉斯·凯奇 Nicolas Cage 饰）、维萝妮卡（莫妮卡·贝鲁奇 Monica Bellucci 饰）、霍瓦斯与邪恶的女巫莫戛娜·洛菲（Alice Krige 饰）展开抗争。维萝妮卡为了封住女巫，而将莫戛娜的灵魂吞入自己的体内，并由巴尔萨泽将她们封印在玩偶中。默林死前，将一枚龙指环交给巴尔萨泽，嘱托他寻找默林英雄，将莫戛娜彻底消灭。此后的岁月里，巴尔萨泽走遍世界各地寻找默林英雄，却始终一无所获，直到他来到美国纽约。
                                        
                                    　　公元2000年，四年级小学生戴夫在纽约一间魔法店宿命地邂逅了巴尔萨泽，并得到龙指环的肯定。期间，他无意中释放了邪恶的霍瓦斯，引发一场巨大的混乱，戴夫也被同...",美国,男性卡司间chemistry一流(including tank the pitbull 就是GQ那一只呀!) 平均身高也惊人(2米的巧克力巨人+请忽视鞋跟的toby kebbell~) jay半年内两次骑猛禽泡妞 teresa可比betty灵多了 最后发功时几个镜头太 帅 了,我看得好开心！！（好吧我长不大了）。我觉得这片子什么都好看，故事好看，魔法好看，科学好看，衣服好看，车好看，两段爱情都好看。迪士尼套路每个环节都搞好估计就是这个样子了！,今天preview去看了，非常enjoyable的电影,笼子叔终于成为烂片王中王，电影毫无新意地讲述了科学家会武术流氓也挡不住的江湖真谛。,两个长生不老怪蜀黍分别携带正太一名追踪一个俄罗斯套娃的猥琐故事。
拆弹部队 ,剧情、惊悚、战争,7.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p770541118.jpg,09/04/2008,"美军侵入伊拉克后，上士威廉姆斯•詹姆斯（杰瑞米•雷纳 Jeremy Renner 饰）被调入陆军亡命连拆弹组，接替刚在巴格达执行任务中牺牲的同事。拆弹组另两人，负责联络的士官桑波恩（安东尼•麦凯 Anthony Mackie 饰）和负责掩护的特种兵欧文（布莱恩•杰拉蒂 Brian Geraghty 饰）对意气用事的威廉姆斯相当反感。但在联合国大楼的拆弹行动中，抗拒命令强行拆弹的威廉姆斯却得到上校瑞德（大卫•莫尔斯 David Morse 饰）的赞赏。在一次仓库拆弹任务中，威廉姆斯认为被用作尸体炸弹的伊拉克小男孩是他在军营认识的卖盗版DVD的贝克汉姆（克里斯托佛•萨伊 Christopher Sayegh 饰）。小贝克汉姆的死让威廉姆斯更为疯狂，竟私离军营单枪匹马入城调查……
                                        
                                    　　本片荣获2010年第82届奥斯卡最佳影片、最佳导演、最佳原创剧本、最佳剪辑、...",美国,这种水准的战争片 看10部和看1部感觉是一样的,在毕格罗的眼中，卡梅隆恐怕和那个拆弹手没什么两样，他就剩下一种玩具了：拍电影烧钱。卡梅隆拍《铁达尼号》九死一生，他自己都以为不敢再这么干了，结果又弄出个《阿凡达》。《拆弹部队》的结尾说的不是别人，是前夫卡梅隆，这个冷酷的狂人抛下家庭，又回来了。他的借口是：观众像孩子一样需要他。,不乏精彩场面和震撼冲击力，但终归还是美国人用来自恋的。,虽然你小成本了但还是没逃出美国英雄主义的主旋律，同类题材不如去年的《止损》，某网友说的好，这种片子看十部和看一部是一样的,《鹰眼与猎鹰》独立电影。
森林战士 ,动画、奇幻、冒险,7.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2158802659.jpg,11/29/2013,"森林守护者 刚刚失去母亲的少女玛丽·凯瑟琳“M.K”（阿曼达·塞弗里德 Amanda Seyfried 配音）乘坐出租车来到一座几乎与世隔绝的大森林。这里生活着他的父亲，一个坚信森林里生活着矮人族的科学家，为了找到这些小生灵，他不惜牺牲家庭和婚姻。玛丽到达的那天刚好是夏至和满月，一个百年一次的特殊日子。包围着森林绿色和祥和的森林守护者的女王塔拉（Beyoncé Knowles 配音）将在这天选出继承人，然而他们的死对头Boggan人却要想方设法阻止继承人的诞生，这样便可以顺利地将腐烂和死亡的气息带到森林每一个角落。
                                    
                                　　并不相信父亲说法的玛丽意外卷入两个矮人族的存亡纷争之中，而她也和数名森林守护者的勇士们肩负起保卫森林的重任……",美国,这样的故事感觉不太适合小 小朋友而比较适合大 小朋友。开头的铺垫有些许冗长，而且没有足够的亮点来引我入胜，不过随着森林女王的出场，游行、献花、乃至意外驾崩而接连展开的剧情，就开始让整个故事的情节更加紧凑、更加精彩起来了。至于搞笑，纯靠鼻涕虫和蜗牛撑场还是有些不够的。个人整体观感偏中上。→ 2013.12.03 北京 中影国际影城-千禧街店（巨幕厅）：票价才20元人民币的中国巨幕，还是挺值的。再看一遍3D国语版后，对影片的好感度有所提升了。→ 2016.02.13：终于给小朋友们放映这部《森林战士》了，台配国语版还挺有趣的，鼻涕虫和蜗牛的台词里时不时夹杂着闽南语还蛮搞笑的，和小朋友们一起重温还挺欢乐的。,整体来说都太平庸，大概是改编自童话书的缘故，设定非常低龄化，导致人物性格毫无特色，转变动机也简单处理，故事平铺直叙，本来人类与leaf man的互动可以成为亮点，可惜着墨却不多，搞笑更是隔靴搔痒不对味儿全靠插科打诨。,艾玛超好看！影院爆满，什么人都有，老少皆宜，小孩看了开心大人也笑得合不拢嘴！蜗牛和鼻涕虫兄弟还能再萌一点么！从头笑到尾整个人躺在那儿笑到一抽一抽的癫痫，画面也超漂亮超赞，好萌好治愈！想拉个板凳坐在门口叫大家来看啊来看啊~,好看好看，很精致啊，后面密恐有点受不了但不影响。,适合夏天看的好片子 有点像亚瑟与他的迷你王国的加强版 吧~
重见天日 ,剧情、传记、战争,7.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1196575330.jpg,09/09/2006,出生在德国的迪特•丹格勒（克里斯蒂安•贝尔饰）自幼就梦想着驾驶飞机翱翔天际。长大后，他随家人移民至美国，加入军队成为了一名真正的飞行员。随后迪特便随海军投身越南战场。赶往执行任务的途中，迪特飞机不幸被越南军队的地面炮火击落。侥幸逃脱一死的他，却最终被敌人俘获，饱受严刑折磨。迪特被押至设在老挝的战俘集中营，那里还有几个美国军队的同伴。看守敌人给予他们非人待遇，迪特还未坐定就暗下决心要逃跑，但周围的同伴吉恩（杰瑞米•戴维斯饰）、杜恩（史蒂夫•茨恩）等并不那么认为，他们没多少信心。在一番劝说下，迪特精心策划，要在雨季来临时越狱。他们要面对是无边丛林、饥饿、野兽，还有不知道在何处的越南人……,美国,"让我想起了【荒岛余生】。由于在【机械师】中的瘦骨形象，本片中贝尔的减肥和汉克斯的肥瘦之差有的一拼，而其中还有恶心的“吃蛆”和“吃生蛇”，更见荒野生存之惨。
三星半。",CHRISTIAN BALE太能吃苦了…………,德意志狂人也拍好烂乌了～～～～Herzog吃错药了？这样的结尾和叙事他也能接受？？？？他还written&directed……my高～～～～～～～～,尽管俗了点，但赫尔佐格个人风格依稀可见，并且这片子看完还是挺爽。//卧槽，07年的自己可真能瞎说，还赫尔佐格个人风格呢，我看过赫尔佐格么？！？！//天呐，别赞了，我是要脸的，拜托了🙏//真的要脸，真的，🙏放过彼此。,太好莱坞了，主角太符号化了，过于坚强乐观，反而让人觉得不接近人性，演技倒是不错…我还是更喜欢看到什么陷入绝望啊然后从巨大的绝望中置死地后生啊留下心理阴影啊云云，囧
尖峰时刻 ,喜剧、动作、惊悚、犯罪,7.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514033487.jpg,09/18/1998,"韩大使（Tzi Ma 饰）驻派美国之前曾主持破获了中涛犯罪集团的走私活动，他因此受到仇家愤恨。在美国，中涛指示手下绑架了韩大使的女儿素洋（Julia Hsu 饰），并勒索赎金5千万美元。FBI闻讯展开全面调查，韩大使担心美方办事效率，执意要求调派香港的老搭档李督察（成龙 饰）前来协助。为了阻挠李抢先破案，FBI派出洛杉矶警察局状况不断的问题警探卡特（克里斯•塔克Chris Tucker 饰）作为李的搭档。卡特作风张扬高调，李则身手不凡、低调谨慎，这对临时组合的东西搭档闹出不少误会和笑话。但随着一次次危机发生，两人渐渐培养出默契。他们的营救行动最终能否成功？
                                    
                                　　本片荣获1999年拉丁媒体艺术奖最佳女主角奖（Elizabeth Peña）、1999年MTV电影奖最佳银幕秀。",美国,动作环节让人看了之后大为叹服，搞笑桥段也足够令人捧腹，不需要太多的内涵，却能让观众在整个欣赏过程里彻底放松，享受其中的捧逗对话和绝妙武打设计。我发现我其实挺喜欢成龙的电影，了不起的身手配合时而耍宝的神气，加上一点儿于好莱坞初来乍到的青涩，让人感到愉悦，直呼过瘾。,YouTube上评论说这部电影是拉近黑人与华人关系的第一功臣。,没什么不好的呀，搞笑、功夫都挺像样的。,这不是好莱坞的一流制作，更不是成龙大哥的巅峰之作，但是影片通过李警官和卡特这一对冤家搭档的角色塑造，巧妙地融合了东西方文化，调和了中美观众的口味。但是导演显然低估了观众的智商，全篇漏洞百出。克里斯塔图这个大嘴巴很搞笑，但是表演有些过火，要是换成威尔史密斯和成龙的组合该有多疯狂!,尖峰时刻系列真的很好看，剧情搞笑，而且武打动作真的厉害，尤其是第一部，动作非常流畅，干净利落，在外国人的笨手笨脚下对比更明显，也突出了戏剧的氛围，终于明白为什么外国朋友都知道jacky chen了。
王牌特工2：黄金圈 ,喜剧、动作、冒险,6.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499792043.jpg,10/20/2017,"时光飞逝，一转眼，艾格西（塔伦·埃格顿 Taron Egerton 饰）已经成长为了一名出色而又可靠的特工，他和蒂尔德公主（汉娜·阿尔斯托姆 Hanna Alström 饰）之间的感情也愈演愈浓，两人眼看着就要携手步入婚姻的殿堂。就在这个节骨眼上，前特工查理（爱德华·霍尔克罗夫特 Edward Holcroft 饰）杀了回来，如今的他效力于一个名为“黄金圈”的贩毒组织，组织头目波比（朱丽安·摩尔 Julianne Moore 饰）是一个邪恶而又野心勃勃的女人。
                                    
                                　　查理查出了金士曼的所有据点，用导弹将它们全部摧毁。幸存的艾格西和梅林（马克·斯特朗 Mark Strong 饰）千里迢迢远赴美国，向潜伏在那里的联邦特工寻求帮助。波比种植了一种含有毒素的大麻，将它们输送往世界各地，当瘾君子们体内的毒素渐渐发作后，波比以此为筹码，正式向政府宣战。",英国 / 美国,卡司很强，竟然还有艾米丽·沃森；近身肉搏的动作戏都很帅但不如上一部有亮点 p.s.1.英国叫Kingsman，美国叫Statesman，中国是不是叫Partysman？ 2.对应Elton John，咱被绑架的歌手该会是……韩红？,我竟然在大荧幕上看到了〇道内壁三秒钟大特写！,脸货贡献了职业生涯最软萌最清纯的表演！请把昆虫学家的设定拍成番外！他说“I have never been in a relationship”的时候多么令人想冲进屏幕里对他说别拯救世界了让我们在末日前谈一次恋爱！老年打星实在不容易编剧都不给你升级一下武器！最后让我们高喊一声：美国最土！,想问问导演和编剧，踩了地雷的话还有办法复活吗…,想看Elton John骂街吗！想看Elton John变装吗！想看你的朋友Elton John唱tiny dancer吗！现在都已加入肯塔基州fried chicken➕whiskey的豪华套餐。没想到2还能有小惊喜，大家应该都多加了半颗星给脸书和蛋蛋的西装
勇敢者的游戏 ,动作、奇幻、冒险,8.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2493837209.jpg,12/15/1995,"“尤曼吉”是一种类似于大富翁的棋类游戏，然而，和大富翁不同的是，“尤曼吉”的棋子能自动移动，当你走到其中一格时，这格描述的东西就会真实出现在你面前，而且游戏一经开始便不能结束，只有游戏结束才一切复原！
                                    
                                　　12岁的阿伦（罗宾•威廉斯 Robin Williams 饰）和好友萨拉（邦尼•亨特 Bonnie Hunt 饰）才刚一开始玩“尤曼吉”，就被棋盘里面飞出来的蝙蝠吓得魂不附体，冲进了“尤曼吉”的神奇世界里，没能继续玩下去，以致两人就这样困在了另一个世界里。
                                    
                                　　26年后，阿伦当年住的房子又搬进了两个小客人――朱迪（克尔斯滕•邓斯特 Kirsten Dunst 饰）和皮特（布雷德利•皮尔斯 Bradley Pierce 饰）姐弟两。他们在“尤吉曼”的战鼓声指引下找到了当年阿伦还没玩完的“尤吉曼”。在熟悉规则后，他们继续了当年阿伦还没结束的游戏……",美国,小学六年级在电影院看的，我还跟一个女生为了剧透打过架。,从头来过真的是我能想过的电影结局里最完美的了。~一切分别都只不过是一场幻梦，你还很小，你爱的人都还在，你还有无数次机会去选择，去规避你已知的困难，去尝试不一样的方式，去说出你以为没机会说的表白、道歉，还可以和尚未老去的父母再一次拥抱。,1996年，秋天，县“银河电影院”，计有李懿、吴谦、卢赟等人。,童年最喜欢的电影之一。悼念船长,尤曼吉.这是部很多运用了电脑特效和次元时空魔法的片子.讲述了大富翁游戏所蕴含的久远历史 也表明了幻象游戏世界和庄周梦蝶、混沌理论等等关于电影的超前因素——片子最后夫妻俩异口同声说一声“No”，见到未来的伙伴以及想到他们要在空难中失去父母，以及小孩子悟空，万兽狂奔，大洪水和裂地魔咒
星球大战9：天行者崛起 ,动作、科幻、冒险,6.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575456458.jpg,12/18/2019,本片为2017年电影《星球大战：最后的绝地武士》的续集，“星球大战后传三部曲”的第三部作品，同时是“天行者传奇”的第九部作品以及最终章。在卢克·天行者化为绝地英灵的一年后，残存的抵抗势力将再次面对第一秩序。同时，绝地和西斯之间的大战将天行者的传奇带到最后。,美国,凯·洛伦：你拯救世界我拯救你,所以最后还是随了夫姓,第一次感受到电影可以拍的像电子游戏一样：接任务、跑剧情，平淡无趣。把影迷心中从以往优秀星战作品中积累的情怀拿来一通消费，拍出一部狗尾续貂的作品。,单身使人丑陋  恋爱让人美貌  对吧本崽【拿着一把小突突枪单枪匹马救雷雷的本崽那张脸真的三部颜值最高】,妈的，这世道，居然星战都要跑来告诉我“霸道总裁是不会爱上平凡女孩的，能被霸道总裁爱上的女孩都他妈是落难公主”……我们Kylo Ren 也太惨太惨了，为成就一代女企业家活生生被吸干了最后一丝剩余价值嘛，这个结局我不能接受不能接受不能接受！！！
福尔摩斯二世 ,喜剧、动作、爱情,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg,04/21/1924,影片的男主角基顿（巴斯特·基顿 Buster Keaton 饰）是一名乡村影院电影放映师，他喜欢阅读侦探类的书籍，经常幻想自己就是一名像福尔摩斯一样的大侦探。一天，他把价值一元的巧克力糖谎称四元送给女友凯莎琳（Kathryn McGuire 饰），不料被情敌趁机陷害，说基 顿偷了别人的手表拿去当才有钱买巧克力。凯莎琳相信了谗言，遂将基顿赶出门外，并取消了二人之间的婚约。基顿查访之后，发现情敌才是偷表典当的家伙，但却苦无证据洗清冤情。某日，基顿在放映电影时，发现银幕上的故事竟和他的遭遇同出一辙，而且人物也雷同，唯一不同的是电影中的故事发生在一个上流家庭而已。基顿边放映电影边沉溺在电影之中，于是走出放映室，从观众席走入银幕之中逮捕情敌罪犯。可是进入银幕后的基顿却四处碰壁，一筹莫展．随着场景的变化，银幕上的映象不断从幻想变成事实……,美国,基顿与卓别林的区别在于：卓别林是为批判而搞笑，有所指；基顿是为搞笑而搞笑，无所指。各有千秋。,基顿说，人们说我和卓别林很像，那完全是误解。卓别林有流浪者的哲学，我是正直的劳动者。,天才天才还是天才，即使放在今天即使和后来各个时期的杰作相比也依然是天才。相比之下连伍迪·艾伦的《开罗紫玫瑰》也拙劣起来，成龙的整个喜剧生涯就是山寨呀。梦境里的灵魂走进银幕，戏中戏与外部戏的同一，不知是现实里的人们在模仿电影里的恋爱生活，还是电影里的恋爱生活来自于现实。,默片时代最伟大的两个人：巴斯特·基顿、查理·卓别林，有声片时代最伟大的两个人：比利·怀尔德，斯坦利·库布里克,8/10。人与机械的关系组成了必备的喜剧元素，基顿走入电影里，各个场景通过动作匹配剪辑连续切换，解构了电影制作，而偷表者想暗算基顿，和管家设计了坐上椅子上斧头劈下来的装置、炸弹台球，观众清楚地看到机械改造的危险，但当基顿毫无察觉地坐上无人驾驶的摩托车，他安全地经过了十字路口、拔河比赛、修补货车的桥梁和火车驶过的铁轨，摩托车此刻被赋予了人性，被反派团伙追击的基顿跳入一位领带推销员的肚子，装置变成了关系默契的助手，解救出陷入麻烦的基顿，还可以联系之前基顿跟踪偷表者、被反锁于火车厢，他爬出一节节车厢借助水塔的引水管道成功落地，管道的引流却将铁轨上运行的车中两人冲得跌落，机械和基顿既连成一体又有调皮的个性。现实中女友机智地到典当行洗清了基顿的嫌疑，基顿只能无力地白日做梦，颠覆了男性作为拯救者的主动地位。
金蝉脱壳2：冥府 ,动作、惊悚,3.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2524134770.jpg,06/29/2018,越狱专家布雷斯林（史泰龙 饰）有三个学生：周树（黄晓明 饰）、卢克和金布罗，三人性格迥异，行事风格大相径庭。在保护表弟马雨声的一次行动中，周树和表弟被一起抓进一座名为“冥府”的超级监狱。布雷斯林为了营救爱徒，在逃出海上监狱“坟墓”之后再陷 “冥府”。这一次监狱难度更高，困难升级，对抗一触即发。师徒几人在监狱中艰难保命。监狱外，同样在追查这座地下监狱的同行德罗萨（戴夫·巴蒂斯塔 饰）与他们并肩作战。最终在狱友和团队的帮助下，三人与人工智能狱长几大反派展开殊死决战，一场大战即将开启。,美国 / 中国大陆,百分百的碟市水平烂货，渣滓特效，野鸡导演，18线阵容，无脑剧本，引进这种电影来内地放映的片方应该被判死刑。,说这片跟前作不是一个系列我也信，五毛特效，剧情奇烂，黄晓明各种耍帅特写，导演不愧是烂片专业户。可惜这个系列跟《死亡飞车》一样，开篇打响名气，接下来就是走小众烂片自嗨的路线了。另外这片国外发碟国内院线，2还没上映3已经拍了，一个黄晓明一个张晋，摆明了中国特供，花钱看纯粹是交智商税！,史泰龙运筹帷幄，黄晓明策马化腾。,练咏春的晓明去拜师史泰龙学越狱了，他虽然武功高强，但最怕电击疗法，对了，一起凑热闹的还有来自银河护卫队的德拉克斯。看完后的感觉是，这是一部预告比影片精彩的作品，从不怎么被宣传的晓明才是主角，史泰龙可是男二哈。比《深海越狱》好那么一点点，真的是一点点。这个暑假怎么回事，都在砸招牌？,当第一次看清黄晓明替身的脸后，我对这部片的质量有了初步判断；当第二次看清黄晓明替身的脸后，我对这部片失去了一大部分兴趣；当第三次看清黄晓明替身的脸后，我确定了这部片的分数。
驯龙高手 ,动画、奇幻、冒险,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,05/14/2010,维京岛国的少年小嗝嗝（杰伊•巴鲁切尔 Jay Baruchel 配音）是部落统领伟大的斯托里克（杰拉德·巴特勒 Gerard Butler 配音）的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒增烦恼。在一次对抗飞龙的战斗中，希卡普偷偷用射龙器击伤了一只最神秘的“夜之怒龙”，并背着族人放生、豢养，甚至驯服了这只龙，还给它起名“无牙”。希卡普的神秘行径引起了一同训练屠龙技巧的女孩阿斯特丽德（亚美莉卡·费雷拉 America Ferrera 配音）的怀疑。阿斯特丽德发现了希卡普的秘密，却同时被身骑“无牙”御风而飞的美妙体验所震撼。格雷决定在屠龙成人礼上向远征归来的斯托里克和族人讲明真相，说服大家放弃屠龙，却偏偏弄巧成拙，害得“无牙”被俘，一场更大的灾难就在眼前……,美国,强过阿烦达太多太多了,哇哇哇好看 那龙的原型绝对是一猫,和谐的生活离不开摸头与被摸头,我觉得今年其他的动画片可以不要演了,这片儿告诉我们的道理仍然是：技术宅拯救世界。
王牌特工：特工学院 ,喜剧、动作、冒险,8.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2218945060.jpg,03/27/2015,"哈里（科林·费斯 Colin Firth 饰）是英国秘密特工组织金士曼中的一员，某次行动中，他的战友不幸牺牲，哈里将一枚徽章和一个电话号码交给了战友年幼的小儿子艾格西（亚历克斯·尼科洛夫 Alex Nikolov 饰），叮嘱他将来如果遇到了什么麻烦可以拨打这个号码，然而，这样的机会只能使用一次。
                                    
                                　　一晃眼十七年过去，破碎的家庭让艾格西（塔伦·埃格顿 Taron Egerton 饰）成长为了一个整日无所事事的小混混，某日，因为违反交通规则而遭到逮捕的艾格西使用了手中珍贵的号码，赶来的哈里在艾格西玩世不恭的外表之下发现了他善良的本质和极高的天赋，于是，哈里决定将艾格西培养成为新一代金士曼，他们需要共同面对的是强大而又邪恶的亿万富翁瓦伦丁（塞缪尔·杰克逊 Samuel L. Jackson 饰）。",英国 / 美国,Kingsman: The Secret Service难道不是应该译为《王的男人之秘密服务》咩？请告诉我，我的英文没白学！,本片手表道具由名侦探柯南独家赞助播出。,你们猜2625在手机上打出来是什么单词？A-N-A-L,麦当劳配45年的拉菲，看看人家装逼多专业。,Best. Firework. Ever.
疯狂的麦克斯4：狂暴之路 ,动作、科幻、冒险,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,05/14/2015,"未来世界，水资源短缺引发了连绵的战争。人们相互厮杀，争夺有限的资源，地球变成了血腥十足的杀戮死战场。面容恐怖的不死乔在戈壁山谷建立了难以撼动的强大武装王国，他手下的战郎驾驶装备尖端武器的战车四下抢掠，杀伐无度，甚至将自己的孩子打造成战争机器。在最近一次行动中，不死乔的得力战将弗瑞奥萨（查理兹·塞隆 Charlize Theron 饰）带着生育者们叛逃，这令不死乔恼羞成怒，发誓要追回生育者。经历了激烈的追逐战和摧毁力极强的沙尘暴，弗瑞奥萨和作为血主的麦克斯（汤姆·哈迪 Tom Hardy 饰）被迫上路，而身后不仅有不死乔的追兵，还有汽油镇、子弹农场的重兵追逐。
                                    
                                　　末世战争，全面爆发……",澳大利亚 / 美国,除了燃，Mad Max 4还说了一件事。背井离乡七千天，无一日不惦念。不论眼下多苦，相信只要回头就有希望，因为那里是丰饶的绿洲。但这终究只是个幻觉。离开家乡越久，幻觉越严重。你以为逃离能解决一切，但真正的胜者不是寻找green land的人，而是改变wasteland的人。,核辐射末日美学……不能大银幕欣赏，只能这样了。,近年来最具作者性最有风格的好莱坞动作片，且完成度极高，其存在堪称奇迹。单是前30分钟就已经嗨翻天，风暴戏的配乐简直神来之笔！邪典味的疯劲贯穿全片，文戏少没废话直接爽，如此雄性的动作电影竟然没有直男癌反而讲了一个女性觉醒的故事，片中每一个女性角色都实现了自我价值。PS：电吉他碉堡了！,实在还是有点不能接受这导演还拍了快乐的大脚。。。到底有多分裂才能在这两种风格之间转换啊！2015最酷爽，真·速度与激情,热血与烈火、青空与黄沙的狂暴之路，违反各种美学却让人胸腔炸裂的末日邪典。坚信“女人不是物体”的塞隆女神简直屌炸天！文明崩坏后人类终于要重回母系时代了——还有比这更治愈直男癌的吗？？！！
